RIKILT code	Sample id	Country	Tetracycline	Oxytetracycline	Doxycyline	Chloortetracycline	Minocycline	Methacycline	Dapson	Sulfacetamide	Sulfachloropyridazine	Sulfadiazine	Sulfadimethoxine	Sulfadimidine	Sulfadoxine	Sulfamerazine	Sulfamethizole	Sulfamethoxazole	Sulfamethoxypyridazine	Sulfamonomethoxine	Sulfamoxole	Sulfaphenazole	Sulfapyridine	Sulfaquinoxaline	Sulfathiazole	Sulfisoxazole	Trimethoprim	Ciprofloxacin	Danofloxacin	Difloxacin	Enrofloxacin	Flumequin	Marbofloxacin	Nalidixinezuur	Norfloxacin	(Lev)ofloxacin	Oxolinezuur	Sarafloxacin	Trovafloxacin 	Tylvalosin (aivlosin)	Erythromycin	Gamithromycin	Josamycin	Lincomycin	Natamycin	Neospiramycin	Pirlimycin	Spiramycin	Tildipirosin	Tilmicosin	Tulathromycin	Tylosine	Valnemulin	Vancomycin	Tiamulin	Apramycine	Dihydrostreptomycine	Spectinomycine	Gentamicine	Kanamycine	Neomycine	Paromomycine	Streptomycine	Tobramycine	Amikacine	Amoxicilline	Ampicilline	Penicilline G	Penicilline V	Cloxacilline	Dicloxacilline	Nafcilline	Oxacilline	Cefapirine	Cefalexin	Cefalonium	Cefoperazone	Ceftiofur	Cefquinome	Cefacetril	Cefotaxim	Ceftazidime	Cefpodoxime	Cefazolin	Imipenem	Meropenem	Ertapenem	Biapenem	Doripenem	Faropenem
414064	13	COTE D'IVOIRE (elfenbenkysten)	190	12000	570	<100	<500	<500	<5	<5	<25	<5	<5	5	1900	<5	<5	10500	<5	<25	<5	ntb	7	<25	230	<5	2200	3300	<5	<5	<5	<5	<5	<5	2100	460	<5	<5	<5	ntb	<5	<50	<50	280	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414065	14	Ecuador 	120	290	130	<100	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	35	590	<5	<25	<5	ntb	30	<25	<25	<5	640	630	<5	<5	<5	<5	<5	<5	<5	200	<5	<5	<5	ntb	<5	<50	<50	110	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414066	14a	Ecuador 	490	<100	<50	<500	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	600	5300	<5	<25	<5	ntb	<5	<25	<25	<5	840	2800	ntb	<5	<5	<5	<5	210	ntb	65	<5	<5	<5	ntb	<5	<50	<50	15	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414067	15	Tanzania	170	<100	450	<100	<500	<500	<5	<5	<25	<5	<5	<5	1300	<5	<5	5100	<5	<25	<5	ntb	<5	<25	<25	<5	1450	5900	<5	<5	85	<5	<5	250	720	280	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414068	23	Czech Republic	61	<100	330	<100	<500	<500	<5	<5	<25	<5	12	<5	<5	<5	<5	1100	<5	<25	<5	ntb	128	<25	<25	<5	530	890	<5	<5	37	<5	<5	<5	160	310	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414069	24	Ethiopia	150	<100	510	<100	<500	<500	28	<5	<25	<5	<5	<5	<5	<5	<5	3300	<5	<25	<5	ntb	<5	<25	<25	<5	1600	6700	<5	<5	<5	<5	<5	<5	1400	100	8	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414070	25	Finland	1200	<100	700	<100	<500	<500	<5	<5	<25	170	<5	<5	<5	<5	<5	190	<5	<25	<5	ntb	1600	<25	<25	<5	270	700	<5	<5	<5	<5	<5	<5	53	160	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414071	27	Germany	150	<100	310	<100	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	<5	590	<5	<25	<5	ntb	530	<25	<25	<5	150	2650	<5	<5	<5	<5	<5	<5	160	540	16	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414072	28	Iceland	74	<100	280	<500	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	<5	55	<5	<25	<5	ntb	<5	<25	<25	<5	71	290	<5	<5	<5	<5	<5	<5	<5	<5	<5	9	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414073	29	Israel	53	<100	230	<100	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	<5	350	<5	<25	<5	ntb	120	<25	<25	<5	280	1500	<5	<5	41	<5	<5	<5	36	480	<5	12	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
