RIKILT code	Sample id	Country	Tetracycline	Oxytetracycline	Doxycyline	Chloortetracycline	Minocycline	Methacycline	Dapson	Sulfacetamide	Sulfachloropyridazine	Sulfadiazine	Sulfadimethoxine	Sulfadimidine	Sulfadoxine	Sulfamerazine	Sulfamethizole	Sulfamethoxazole	Sulfamethoxypyridazine	Sulfamonomethoxine	Sulfamoxole	Sulfaphenazole	Sulfapyridine	Sulfaquinoxaline	Sulfathiazole	Sulfisoxazole	Trimethoprim	Ciprofloxacin	Danofloxacin	Difloxacin	Enrofloxacin	Flumequin	Marbofloxacin	Nalidixinezuur	Norfloxacin	(Lev)ofloxacin	Oxolinezuur	Sarafloxacin	Trovafloxacin 	Tylvalosin (aivlosin)	Erythromycin	Gamithromycin	Josamycin	Lincomycin	Natamycin	Neospiramycin	Pirlimycin	Spiramycin	Tildipirosin	Tilmicosin	Tulathromycin	Tylosine	Valnemulin	Vancomycin	Tiamulin	Apramycine	Dihydrostreptomycine	Spectinomycine	Gentamicine	Kanamycine	Neomycine	Paromomycine	Streptomycine	Tobramycine	Amikacine	Amoxicilline	Ampicilline	Penicilline G	Penicilline V	Cloxacilline	Dicloxacilline	Nafcilline	Oxacilline	Cefapirine	Cefalexin	Cefalonium	Cefoperazone	Ceftiofur	Cefquinome	Cefacetril	Cefotaxim	Ceftazidime	Cefpodoxime	Cefazolin	Imipenem	Meropenem	Ertapenem	Biapenem	Doripenem	Faropenem
414090	48	Vietnam	48	<25	60	<25	<100	<100	<5	<5	<25	<5	<5	16	<5	<5	<5	210	<5	<25	<5	ntb	21	<25	<25	<5	79	690	<5	<5	<5	<5	<5	33	<5	780	<5	<5	<5	ntb	29	<50	<50	580	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414091	49	Zambia	120	<50	530	<25	<100	<100	99	<5	<25	<5	<5	<5	1250	<5	<5	13500	<5	<25	<5	ntb	37	<25	<25	<5	5500	5300	<5	<5	<5	<5	<5	1600	250	510	<5	<5	<5	ntb	3150	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414092	49b	Zambia	110	190	160	<25	<100	<100	<5	<5	<25	<5	<5	<5	1300	<5	<5	6300	<5	<25	<5	ntb	<5	<25	<25	<5	2150	2100	<5	<5	<5	<5	<5	<5	<5	110	<5	<5	<5	ntb	2400	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414093	50	Nigeria	21000	360	710	<100	<500	<500	9	<5	<25	210	<5	280	7100	120	<5	29000	<5	<25	<5	ntb	430	<25	480	<5	3000	42000	<5	<5	<5	<5	<5	<5	390	5500	94	<5	<5	ntb	5900	<50	<50	4500	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414094	52	637459 (Singapore)	290	<100	600	<25	<500	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	150	<5	<25	<5	ntb	140	<25	<25	<5	72	3900	<5	<5	<5	<5	<5	<5	340	790	<5	<5	<5	ntb	<5	<50	<50	36	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414095	53	66055-090 (Brasilien)	570	<25	210	<25	<500	<100	<5	<5	ntb	89	<5	<5	<5	<5	<5	510	<5	<25	<5	ntb	130	<25	<25	<5	180	3200	<5	<5	<5	<5	<5	<5	1600	2600	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414096	53a	66055-090 (Brasilien)	28	<25	<50	<25	<100	<100	<5	<5	<25	340	<5	<5	<5	<5	<5	130	<5	<25	<5	ntb	<5	<25	<25	<5	<5	190	<5	<5	<5	<5	<5	<5	<5	74	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414097	54	8100 (Malaysia)	190	<25	180	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	170	<5	<25	<5	ntb	<5	<25	<25	<5	270	970	<5	<5	<5	<5	<5	<5	84	320	<5	<5	<5	ntb	<5	<50	<50	19	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414098	56	New Zealand	<25	<25	230	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	250	<5	<25	<5	ntb	89	<25	<25	<5	<5	320	<5	<5	<5	<5	<5	<5	28	33	16	<5	<5	ntb	99	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414099	59	Georgia	<25	<25	<50	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	<5	<5	<25	<5	ntb	<5	<25	<25	<5	<5	18	<5	<5	<5	<5	<5	<5	<5	33	11	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414100	60	Kosovo	<25	<25	220	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	55	<5	<25	<5	ntb	<5	<25	<25	<5	<5	2600	<5	<5	<5	<5	<5	<5	<5	960	<5	<5	9	ntb	510	<50	<50	27	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414101	61	Hungary	96	<25	230	<25	<100	<100	20	<5	<25	<5	<5	160	<5	<5	<5	840	<5	<25	<5	ntb	1300	<25	<25	<5	67	1350	<5	<5	63	<5	<5	150	510	3000	<5	<5	<5	ntb	<5	<50	<50	19	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414102	62	Republic of Macedonia	<25	<25	590	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	150	<5	<25	<5	ntb	140	<25	<25	114	300	6100	<5	<5	<5	<5	<5	<5	930	440	13	<5	<5	ntb	<5	<50	<50	260	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414103	63	Malta	150	10000	300	<25	<100	<100	<5	<5	<25	<5	56	260	<5	<5	<5	79	<5	<25	<5	ntb	1500	<25	<25	<5	240	3900	<5	<5	<5	<5	<5	<5	460	3550	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414104	64	P. R. of China	29	340	<50	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	<5	<5	<25	<5	ntb	<5	<25	<25	<5	<5	230	<5	<5	<5	<5	<5	<5	150	360	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414105	65	Republic of Moldova	60	<100	330	<25	<100	<100	<5	<5	<25	<5	19	<5	<5	<5	<5	2500	<5	<25	<5	ntb	61	<25	<25	<5	1150	4300	<5	<5	<5	<5	<5	<5	750	3200	<5	<5	<5	ntb	<5	<50	<50	1200	ntb	ntb	<5	150	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414106	66	Bulgaria	100	<100	270	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	500	<5	<25	<5	ntb	67	<25	<25	<5	<5	2200	<5	<5	<5	<5	<5	310	410	3100	<5	26	<5	ntb	<5	<50	<50	180	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414107	67	Switzerland	110	<100	220	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	ntb	590	<5	ntb	<5	ntb	78	<25	<25	<5	200	1400	ntb	<5	<5	<5	<5	<5	220	260	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414108	68	Croatia	<25	55	170	<25	<100	<100	<5	<5	<25	12	<5	<5	<5	<5	<5	95	<5	<25	<5	ntb	190	<25	<25	<5	110	930	<5	<5	<5	<5	<5	<5	860	200	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414109	69	Ireland	130	<25	87	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	36	<5	<25	<5	ntb	41	<25	<25	<5	300	260	<5	<5	<5	<5	<5	<5	<5	85	16	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414110	70	Austria	57	<25	250	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	55	<5	<25	<5	ntb	110	<25	<25	<5	230	1500	<5	<5	<5	<5	<5	<5	170	450	13	<5	<5	ntb	<5	<50	3400	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414111	71 RD	Denmark	940	<25	120	<25	<100	<100	<5	<5	ntb	<5	<5	<5	<5	<5	1000	78	<5	<25	<5	ntb	720	<25	<25	<5	210	710	<5	<5	<5	<5	<5	<5	<5	42	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414112	71 RA	Denmark	1450	<25	170	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	1200	130	<5	<25	<5	ntb	920	<25	<25	<5	200	1000	<5	<5	<5	<5	<5	<5	<5	37	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414113	71 RL	Denmark	850	<25	160	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	990	440	<5	<25	<5	ntb	510	<25	<25	<5	190	750	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	12	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414114	72	Kenya	150	98	890	<25	<100	<100	390	<5	<25	<5	<5	160	3800	<5	<5	56000	<5	<25	<5	ntb	91	<25	<25	<5	9200	4000	<5	<5	<5	<5	<5	20	950	990	<5	<5	<5	ntb	<5	<50	<50	57	ntb	ntb	<5	<50	ntb	<100	<500	150	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414115	74	USA	27	<25	230	<25	<100	<100	32	450	ntb	<5	<5	<5	<5	<5	<5	920	<5	<25	<5	ntb	100	<25	<25	<5	410	620	<5	<5	<5	<5	<5	<5	<5	330	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<20	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
