country_id	country_name	year	AG.SRF.TOTL.K2	NY.GDP.MKTP.KD.ZG	NY.GDP.PCAP.CD	SH.DYN.NMRT	SH.H2O.SAFE.UR.ZS	SH.STA.BFED.ZS	SI.POV.NAGP	SM.POP.REFG.OR	SP.ADO.TFRT	SP.POP.65UP.TO.ZS	SP.POP.GROW	SP.POP.TOTL	SP.URB.TOTL.IN.ZS	TM.VAL.FOOD.ZS.UN	TX.VAL.FOOD.ZS.UN
CZE	Czech Republic	2014	78870	1.97815404498431	19529.8435634643	1.9	100	NA	NA	1328	10.1304	17.5429535565292	-0.0352535419144028	10510566	73.019	5.96879312693847	4.8408550841033
DEU	Germany	2014	357170	1.59977039232734	47821.9174641231	2.2	100	NA	NA	176	6.9604	21.070280975949	0.301977923369119	80889505	75.094	7.73248937877357	5.62666934826226
DJI	Djibouti	2014	23200	6.00019432397339	1813.59656630259	34.2	97.4	NA	NA	880	21.8254	4.11048490368352	1.33509343245264	876174	77.262	NA	NA
DMA	Dominica	2014	750	3.87858347386172	7244.49584708636	15.6	95.7	NA	NA	38	NA	NA	0.465548898978779	72341	69.256	NA	NA
DNK	Denmark	2014	43090	1.08841956497687	60707.2493654219	2.6	100	NA	NA	12	4.1192	18.4990735623216	0.437745717734919	5639565	87.502	13.7445947559681	18.6038938896225
DOM	Dominican Republic	2014	48670	7.34087836586743	6163.57585665162	22.1	85.9	NA	NA	349	98.4344	6.51088517398183	1.20398696153206	10405943	78.061	14.3889435801784	26.5461923008921
DZA	Algeria	2014	2381740	3.80000000983483	5484.0668056148	15.6	84.9	NA	NA	3523	10.7914	5.80344587376273	1.94039918384128	38934334	70.129	20.1031063045276	0.515502564897682
EAP	East Asia & Pacific (developing only)	2014	16270863	6.74572319882584	6240.40375063742	9.4	96.8318077051168	NA	NA	784268	22.6900783182469	8.10838047677921	0.727006998863985	2020657137	51.9496372545096	6.42657054828224	5.32909612240841
EAS	East Asia & Pacific (all income levels)	2014	24825178.3	3.5829855508708	9475.34962879974	8.93455017225377	97.3083861798724	NA	NA	785144	21.3050427283311	9.31926425926921	0.676464380299109	2264079901	55.7210961795911	6.49975630172574	4.71542776713543
ECA	Europe & Central Asia (developing only)	2014	6385618	2.25346071311776	6874.29918325205	11	98.5418502633757	NA	NA	431682	27.7778473730338	9.99427759621304	0.737150787921252	264350728	59.917536178122	8.16766521006158	14.0307811608321
ECS	Europe & Central Asia (all income levels)	2014	28460411	1.43066750495247	25669.663397159	6.18033100639204	99.4214903422058	NA	NA	550506	18.041856246032	15.3777193023305	0.475455254206736	903110622	70.6632117213107	9.92253298946158	9.67609469833402
ECU	Ecuador	2014	256370	3.67498213973248	6345.84072505948	11.1	93.4	NA	7.87	805	76.1726	6.53828517990034	1.53090212522316	15902916	63.516	7.75076871143976	35.3127024306677
EGY	Egypt, Arab Rep.	2014	1001450	2.20000000784101	3198.69505844244	13.3	100	NA	NA	15873	52.4352	5.17090205846929	2.2188633037184	89579670	43.069	21.0992787377169	17.102571063308
EMU	Euro area	2014	2758812	0.887767554903334	39589.2789463974	2.35378459097126	99.9716890667025	NA	NA	1806	7.86561387675571	19.6897777764157	0.429916168988726	338733933	75.6881680644791	9.84763956486787	9.77867903231342
ERI	Eritrea	2014	117600	NA	NA	18.8	73.2	NA	NA	330526	55.6712	2.59364939719524	2.20836041247992	5110444	22.193	NA	NA
ESP	Spain	2014	505940	1.36077061211743	29767.3515599957	2.8	100	NA	NA	60	8.522	18.4415918160846	-0.463196350953176	46404602	79.355	10.7981436891659	15.5678479884816
EST	Estonia	2014	45230	2.90653716670559	20161.581794126	1.7	100	NA	NA	339	13.6678	18.5295885209196	-0.330744376877774	1313645	67.622	10.0173636532239	10.308470642324
ETH	Ethiopia	2014	1104300	10.2791870240632	573.565960346077	28.5	92.7	NA	NA	86861	60.1198	3.45337849509005	2.50680865992637	96958732	19.028	NA	NA
EUU	European Union	2014	4383492	1.39506557599188	36422.6383086149	2.63784482656034	99.9301137223793	NA	NA	49577	10.9794461232919	18.8452485598373	0.346749412513518	508314519	74.5680376177004	10.1416858581608	9.66030004748565
FCS	Fragile and conflict affected situations	2014	14778260.5	-0.940974691529192	1530.10868526888	28.999479848129	85.2063806890364	NA	NA	11215988	85.4038081116912	3.42593672251813	2.43472612530316	472954698	40.7467685104569	NA	NA
FIN	Finland	2014	338420	-0.404700297243537	49823.701368522	1.3	100	NA	NA	7	6.6682	19.8080902829738	0.451710860588948	5463596	84.086	7.86799669676236	2.88364398010553
FJI	Fiji	2014	18270	6.94457631346839	5112.32211740524	9.8	99.5	NA	NA	924	44.4298	5.63912234192565	0.674955885556658	886450	53.354	17.6823460470148	66.0294592657703
FRA	France	2014	549087	0.179566376852165	42732.5665028093	2.3	100	NA	NA	92	9.0482	18.6690889318142	0.425985399405988	66206930	79.289	9.17694535910246	12.6691189414193
FRO	Faeroe Islands	2014	1396	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.14713046492811	48221	41.743	NA	NA
FSM	Micronesia, Fed. Sts.	2014	700	-3.40289805723164	3057.09102471788	19.2	94.8	NA	NA	NA	15.6944	4.20206835569567	0.313820879224221	104044	22.378	NA	NA
GAB	Gabon	2014	267670	4.31487712607701	10772.0617537637	23.8	97.2	NA	NA	172	102.2	5.15544184211041	2.23626644664236	1687673	86.92	NA	NA
GBR	United Kingdom	2014	243610	2.94025323447028	46331.9774103502	2.5	100	NA	NA	141	15.3342	17.4985778317594	0.627596411582549	64510376	82.345	12.9639462616807	8.11133770903461
GEO	Georgia	2014	69700	4.76644243509141	3669.98139193278	7.6	100	NA	NA	6732	41.1308	14.1161809806448	0.375919386560632	4504100	53.468	14.8120934932612	40.7111556847516
GHA	Ghana	2014	238540	3.98586562415207	1441.63645311166	29	92.3	NA	NA	22147	67.5004	3.42673227858199	2.35007566114568	26786598	53.392	NA	NA
